tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta
FlexFL,winner,mrr,coleman_liau_index,152,486,24.564999999999998,20.7,45312.5,2.4089706860258456e-05,0.22678416720814382,0.0012285750498731813,True,0.22678416720814382
FlexFL,winner,mrr,flesch_reading_ease,152,486,18.939999999999998,30.45,28644.5,2.9111479474222942e-05,-0.2244828893220706,0.001455573973711147,True,0.2244828893220706
FlexFL,winner,mrr,automated_readability_index,152,486,24.3,20.65,44978.5,5.0169466681854585e-05,0.21774149880875027,0.00240813440072902,True,0.21774149880875027
FlexFL,winner,mrr,causal_reasoning_quality,228,607,4.0,4.0,55078.5,1.711021055708715e-06,-0.2040449145929073,9.239513700827061e-05,True,0.2040449145929073
FlexFL,winner,mrr,repair_difficulty,228,607,3.0,3.0,82848.5,5.214866173766856e-06,0.1972672620595971,0.0002711730410358765,True,0.1972672620595971
FlexFL,winner,mrr,summary_chars,228,607,12.0,38.0,55947.0,3.911777426253048e-06,-0.19149397381427208,0.00020732420359141155,True,0.19149397381427208
FlexFL,winner,mrr,clarity,228,607,4.0,4.0,57744.0,7.666196143717953e-05,-0.16552501517384896,0.003603112187547438,True,0.16552501517384896
FlexFL,winner,mrr,actionability,228,607,4.0,4.0,58087.0,0.00016975865031641037,-0.1605682245151594,0.007808897914554877,True,0.1605682245151594
FlexFL,winner,mrr,n_words,228,607,84.5,101.0,58489.0,0.0005312418241972061,-0.15475880805803635,0.02337464026467707,True,0.15475880805803635
FlexFL,winner,mrr,fine_grained_description_length,224,588,1011.5,1323.0,56199.0,0.001130191975321042,-0.1466381195335277,0.04520767901284168,True,0.1466381195335277
FlexFL,winner,mrr,expected_observed_alignment,228,607,4.0,5.0,59177.0,0.00031373142747869495,-0.1448163241712188,0.014117914236541273,True,0.1448163241712188
FlexFL,winner,mrr,num_causal_markers,228,607,0.0,1.0,59198.0,0.0008078902386991523,-0.14451284719211538,0.0339313900253644,True,0.14451284719211538
FlexFL,winner,mrr,causal_density,228,607,0.0,0.1666666666666666,59397.0,0.0010896858555141595,-0.14163704153299228,0.04467712007608054,True,0.14163704153299228
FlexFL,winner,mrr,confidence,228,607,5.0,5.0,59744.0,4.2565893582801215e-05,-0.13662244573542587,0.0020857287855572597,True,0.13662244573542587
FlexFL,winner,mrr,fine_grained_confidence,224,588,5.0,5.0,57886.0,0.000725447578940257,-0.12102162293488825,0.031194245894431052,True,0.12102162293488825
FlexFL,winner,mrr,description_chars,228,607,1027.0,1318.0,59343.5,0.001400514304763382,-0.1424101852654701,0.05462005788577189,False,0.1424101852654701
FlexFL,winner,mrr,description_length,228,607,1027.0,1318.0,59343.5,0.001400514304763382,-0.1424101852654701,0.05462005788577189,False,0.1424101852654701
FlexFL,winner,mrr,n_sentences,228,607,4.0,6.0,59584.5,0.0017919365560625535,-0.13892742564814012,0.06630165257431447,False,0.13892742564814012
FlexFL,winner,mrr,n_tokens,228,607,136.0,174.0,59695.0,0.0021100499140559,-0.13733055868666724,0.0759617969060124,False,0.13733055868666724
FlexFL,winner,mrr,technical_depth,228,607,3.0,4.0,60077.0,0.002486781685761754,-0.13181016792392844,0.0870373590016614,False,0.13181016792392844
FlexFL,winner,mrr,specificity,228,607,4.0,4.0,60492.0,0.0034146223839827405,-0.12581288476545566,0.11609716105541318,False,0.12581288476545566
FlexFL,winner,mrr,num_versions,228,607,0.0,1.0,61872.0,0.013476150123792939,-0.10587011185294373,0.4177606538375811,False,0.10587011185294373
FlexFL,winner,mrr,ambiguity,228,607,0.0,0.0,62165.0,0.005476156570874572,-0.10163588543021475,0.18071316683886088,False,0.10163588543021475
FlexFL,winner,mrr,modal_density,228,607,0.0,0.0,63542.0,0.03456827592601066,-0.08173646637186045,0.9679117259282984,False,0.08173646637186045
FlexFL,winner,mrr,num_temporal_markers,228,607,0.0,0.0,63994.5,0.02007046915179727,-0.07519726003641723,0.6021140745539181,False,0.07519726003641723
FlexFL,winner,mrr,temporal_density,228,607,0.0,0.0,64027.5,0.021155783484352573,-0.07472036764068325,0.6135177210462246,False,0.07472036764068325
FlexFL,winner,mrr,num_EB,228,607,0.0,0.0,64044.5,0.06548293957887215,-0.07447469580045667,1.0,False,0.07447469580045667
FlexFL,winner,mrr,num_modal_verbs,228,607,0.0,0.0,64243.0,0.06306616323668249,-0.07160611578369316,1.0,False,0.07160611578369316
FlexFL,winner,mrr,has_EB,228,607,0.0,0.0,64970.5,0.11486640029221226,-0.06109280615046678,1.0,False,0.06109280615046678
FlexFL,winner,mrr,missing_EB,228,607,1.0,1.0,73425.5,0.11486640029221226,0.06109280615046678,1.0,False,0.06109280615046678
FlexFL,winner,mrr,redundancy,228,607,0.3004347085952759,0.2840047478675842,73146.5,0.201503602825005,0.057060897713806756,1.0,False,0.057060897713806756
FlexFL,winner,mrr,smog_index,152,486,12.6,12.3,38997.0,0.2987542638239229,0.05579922027290448,1.0,False,0.05579922027290448
FlexFL,winner,mrr,num_os_mentions,228,607,0.0,0.0,65402.5,0.01091220184229411,-0.054849851151767395,0.3491904589534115,False,0.054849851151767395
FlexFL,winner,mrr,gunning_fog,152,486,11.985,11.7,38758.5,0.3582785053981822,0.049342105263157895,1.0,False,0.049342105263157895
FlexFL,winner,mrr,num_negative_modals,228,607,0.0,0.0,66227.5,0.07969617745307835,-0.04292754125841787,1.0,False,0.04292754125841787
FlexFL,winner,mrr,stacktrace_depth,228,607,0.0,0.0,71600.0,0.11214615058540345,0.03471198589554612,1.0,False,0.03471198589554612
FlexFL,winner,mrr,num_caused_by,228,607,0.0,0.0,70222.0,0.12424942719982471,0.014798115552472615,1.0,False,0.014798115552472615
FlexFL,winner,mrr,num_browser_mentions,228,607,0.0,0.0,68233.0,0.4271050969694248,-0.013945489754039133,1.0,False,0.013945489754039133
FlexFL,winner,mrr,avg_step_length,228,607,0.0,0.0,70034.5,0.17279421755497004,0.012088499667620451,1.0,False,0.012088499667620451
FlexFL,winner,mrr,num_steps,228,607,0.0,0.0,70031.5,0.1743282317669409,0.012045145813462816,1.0,False,0.012045145813462816
FlexFL,winner,mrr,num_OB,228,607,4.0,4.0,68584.5,0.8425089689186143,-0.008865863175236278,1.0,False,0.008865863175236278
FlexFL,winner,mrr,steps_with_objects,228,607,0.0,0.0,69652.5,0.3545214062136536,0.006568108904881644,1.0,False,0.006568108904881644
FlexFL,winner,mrr,potential_vague_steps,228,607,0.0,0.0,69577.0,0.3080777136612707,0.005477036908581173,1.0,False,0.005477036908581173
FlexFL,winner,mrr,num_env_mentions,228,607,0.0,0.0,69356.0,0.8707783102152605,0.002283302985635423,1.0,False,0.002283302985635423
FlexFL,winner,mrr,num_exception_types,228,607,0.0,0.0,69043.0,0.9472148134147935,-0.0022399491314777885,1.0,False,0.0022399491314777885
FlexFL,winner,mrr,has_OB,228,607,1.0,1.0,69238.0,0.9559024383137953,0.0005780513887684615,1.0,False,0.0005780513887684615
FlexFL,winner,mrr,missing_OB,228,607,0.0,0.0,69158.0,0.9559024383137953,-0.0005780513887684615,1.0,False,0.0005780513887684615
FlexFL,winner,mrr,steps_with_specific_actions,228,607,0.0,0.0,69198.0,1.0,0.0,1.0,False,0.0
FlexFL,winner,mrr,potential_ambiguous_steps,228,607,0.0,0.0,69198.0,1.0,0.0,1.0,False,0.0
FlexFL,winner,mrr,behavior_verb_count,228,607,0.0,0.0,69198.0,1.0,0.0,1.0,False,0.0
